failure mode,unit number,"time, in cycles",sensor 1,sensor 2
1,1,1.0,2.8421423,1.7110763
1,1,2.0,2.3658364,1.6493852
1,1,3.0,2.7992654,2.712025
1,1,4.0,2.7670517,3.5978456
1,1,5.0,3.430665,1.8785179
1,1,6.0,3.4601364,2.1353636
1,1,7.0,3.8844228,4.3885756
1,1,8.0,2.3681827,5.8655033
1,1,9.0,4.331417,6.2473154
1,1,10.0,4.1942654,6.933319
1,1,11.0,4.0079618,9.366511
1,1,12.0,3.5418,7.070146
1,1,13.0,5.7935557,9.559265
1,1,14.0,6.2651973,9.335422
1,1,15.0,5.923228,12.139009
1,1,16.0,6.602145,12.809703
1,1,17.0,5.9554005,13.037878
1,1,18.0,6.110829,16.359625
1,1,19.0,8.010559,18.026117
1,1,20.0,7.9144664,18.047028
1,1,21.0,10.271684,19.846378
1,1,22.0,9.360164,20.622965
1,1,23.0,9.7920265,23.060577
1,1,24.0,10.099082,23.372572
1,1,25.0,11.353259,24.292559
1,1,26.0,13.357838,25.523342
1,1,27.0,14.171418,27.905527
1,1,28.0,14.69573,30.742065
1,1,29.0,15.339653,32.85303
1,1,30.0,14.640122,34.83072
1,1,31.0,17.08147,35.732136
1,1,32.0,17.56449,36.21718
1,1,33.0,19.059355,38.770123
1,1,34.0,19.239845,41.19219
1,1,35.0,18.918541,44.758232
1,1,36.0,21.828642,43.882122
1,1,37.0,23.595217,46.71616
1,1,38.0,24.442587,50.03801
1,1,39.0,24.492064,51.84025
1,1,39.67018,26.267853,54.2868
1,2,1.0,0.76750046,3.377294
1,2,2.0,0.9407877,1.8535783
1,2,3.0,1.4977099,2.4418247
1,2,4.0,2.1032157,3.8573475
1,2,5.0,1.4377564,4.3107247
1,2,6.0,2.7825952,4.1115694
1,2,7.0,2.7706335,4.7385736
1,2,8.0,1.609083,5.2494063
1,2,9.0,2.3043346,6.529526
1,2,10.0,2.6902447,6.3343306
1,2,11.0,2.4254158,6.944376
1,2,12.0,1.745625,7.529415
1,2,13.0,2.902177,8.05711
1,2,14.0,3.1568148,9.553991
1,2,15.0,3.2090955,10.174071
1,2,16.0,4.9484587,12.825881
1,2,17.0,4.877597,12.377237
1,2,18.0,4.7961493,12.735652
1,2,19.0,4.738318,13.748166
1,2,20.0,4.356628,15.49988
1,2,21.0,6.328752,18.875456
1,2,22.0,5.8259225,17.907257
1,2,23.0,6.813617,19.682283
1,2,24.0,6.9424453,18.902716
1,2,25.0,8.356844,23.315914
1,2,26.0,8.382343,23.035727
1,2,27.0,9.321311,23.306694
1,2,28.0,10.398573,26.573204
1,2,29.0,9.978707,28.669468
1,2,30.0,9.620762,28.864746
1,2,31.0,11.038271,31.426754
1,2,32.0,11.820179,31.760408
1,2,33.0,13.870977,32.760456
1,2,34.0,12.689469,34.961555
1,2,35.0,13.885439,36.14609
1,2,36.0,13.398893,37.663574
1,2,37.0,16.148403,40.270367
1,2,38.0,17.111515,41.27635
1,2,39.0,17.763876,43.08062
1,2,40.0,18.549438,44.98144
1,2,41.0,19.64856,46.793243
1,2,42.0,19.923294,48.80206
1,2,43.0,21.58969,50.616924
1,2,44.0,22.322548,52.92727
1,2,45.0,22.96577,53.377235
1,2,46.0,23.360289,56.907852
1,2,47.0,24.493908,58.03045
1,2,48.0,25.963278,60.959286
1,2,49.0,25.275316,63.393757
1,2,50.0,26.439163,64.59193
1,2,51.0,28.89747,66.64899
1,2,52.0,29.293999,69.69378
1,2,53.0,30.564947,71.97238
1,2,54.0,30.47147,73.41031
1,2,55.0,31.500364,73.89625
1,2,56.0,33.834248,77.64481
1,2,57.0,34.038864,80.752235
1,2,58.0,36.873413,81.62745
1,2,59.0,36.85695,83.71833
1,2,60.0,38.72512,85.70423
1,2,61.0,38.91941,89.7235
1,2,62.0,41.238,91.71839
1,2,63.0,42.20943,95.75813
1,2,64.0,44.28748,96.671234
